daxp-DiTouLi-NvQiJie.xml,低头离了洪洞县，
,将身来在大街前。
,未曾开言我心好惨，
,过往的君子听我言。
,哪一位去往南京转，
,与我那三郎把信传。
,就说苏三把命断，
,来生变犬马我当报还。
daxp-DuiLingHua-BiYuZan.xml,对菱花暗地里芳心自转，
,听她言不由人喜上眉尖。
,果然是成佳偶两心欢恋，
,也算得人世间美满姻缘。
daxp-ErDeFu-HongNiGuan.xml,儿的父为国家阵前命丧，
,撇下了奴一人好不悲凉。
,奴这里只把那结婚思量，
,倒不如与伯党匹配鸾凰。
,清早起我和他一度商量，
,不想到狠心郎一味猖狂。
,奴本当把关印付他执掌，
,又恐怕众将官说短论长。
daxp-ErTingDe-SuoLinNang.xml,耳听得悲声惨心中如捣，
,同遇人为什么这样嚎啕。
,莫不是夫郎丑难谐女貌，
,莫不是强婚配鸦占鸾巢。
,叫梅香你把那好言相告，
,问那厢因何故痛哭无聊？
,梅香说话好颠倒，
,不该人前乱解嘲。
,怜贫济困是正道，
,哪有个袖手旁观在壁上瞧。
,蠢才问话太潦草，
,难免怀疑在心梢。
,你不该人前逞骄傲，
,不该词费又滔滔。
,休要噪且站了，
,薛良与我去问一遭。
,听薛良一语来相告，
,满腹骄矜顿雪潇。
,人情冷暖凭空造，
,谁能移动它半分毫。
,我正不足她正少，
,她为饥寒我为骄。
,分我一枝珊瑚宝，
,安她半世凤凰剿。
,忙把梅香低声叫，
,莫把姓名你信口哓。
,这都是神话凭空造，
,自把珠玉夸富豪。
,麟儿哪有神送到，
,积德才生玉树苗。
,小小囊儿何足道，
,救她饥渴胜琼瑶。
daxp-FeiShiWo-TaoHuaCun.xml,非是我嘱咐叮咛把话讲，
,只怪你呆头呆脑慌慌张张。
,今夜晚非比那西厢待月，你懂提防，莫轻狂，关系你患难鸳鸯永宿在池塘。
,已然错请生波浪，
,怎能够粗心大意你再荒唐。
,鼓打二更准时往，
,桃花村口莫彷徨。
,你不要高声不要嚷，
,你必须眼观六路耳听八方。
,不但要仔细听，还要仔细想，是不是有人拍巴掌。
,响一声你就还一掌，
,响两声你就凑近身旁。
,倘若是你响她也响，
,那就是来了我西厢带路的小红娘。
,你把我当做诸葛亮，
,听我的号令上战场。
daxp-LaoDieDie-DaYuShaJia-1.xml,老爹爹清晨起前去出前，
,到叫我桂英儿挂在心头；将身儿坐至在草堂等候，
,等候了爹爹回细问根由。
daxp-LaoDieDie-DaYuShaJia-2.xml,老爹爹清晨起前去出首，
,倒叫我桂英儿挂在心头。
,将身儿坐至在草堂等候，
,等候了爹爹回细问根由。
daxp-LaoDieDie-SanJiZhang-1.xml,老爹爹请息（呀）怒容儿细讲，
,我立志不嫁那状元才郎。
,父休笑薛平贵是花郎模样，
,贫穷人得了志比富还强。
daxp-LaoDieDie-SanJiZhang-2.xml,老爹爹请息怒容儿细讲，
,儿命苦怎配着状元才郎？
,父道那薛平贵是那化郎模样，
,这样人得了志比父还强。
daxp-LaoDieDie-YuZhouFeng.xml,老爹爹发恩德将本修上，
,明早朝上金殿面奏吾皇。
,倘若是有道君皇恩浩荡，
,观此本免了儿一门祸殃。
,老爹爹在朝中官高爵显，
,却为何贪富贵不顾羞惭。
daxp-MengJunZi-ChunQiuPei-1.xml,蒙君子至殷勤再三问话，
,虽然是男女别不得不答。
,家住在罗郡城魁星楼下，
,我的父名姜绍贸易天涯。
,在家中受不过继母拷打，
,莫奈何到荒郊我就来捡芦花。
daxp-MengJunZi-ChunQiuPei-2.xml,蒙君子至诚心再三问话，
,虽然是不相识我就不得不答。
,家住在罗郡城魁星楼下，
,我爹爹名姜绍贸易天涯。
,身有病还受那继母拷打，
,因此上到郊外来捡芦花（呀）。
daxp-MengTingDe-MuiGuiYingGuaShuai.xml,猛听得金鼓响画角声震，
,唤起我破天门状志凌云。
,想当年桃花马上威风凛凛，
,敌血飞溅石榴裙。
,有生之日责当尽，
,寸土怎能够属于他人。
,番王小丑何足论，
,我一剑能挡百万兵。
daxp-MuQinBu-FengHuanChao.xml,母亲不必心太偏，
,女儿言来听根源。
,自古常言道得好，
,女儿清白最为先。
,人生不知顾脸面，
,活在世上也枉然。
daxp-NiDeFu-FenHeWan.xml,你的父去投军无音信，
,全仗你打雁养娘亲，
,把弓带和鱼镖与儿带定，
,不等到日落及早回程。
daxp-QiaoLouShang-HuangShanLei.xml,谯楼上二更鼓声声送听，
,父子们去采药未见回程。
,对孤灯思远道心神不定，
,不知他在荒山何处安身。
,到三更真个是月明人静，
,猛听得窗儿外似有人行。
,忙移步隔花荫留神听定，
,原来是秋风起扫叶之声。
,听画鼓报四更愈添凄冷，
,看娇儿正酣睡恐被风侵。
,我不免引寒机伴奴坐等，
,又思来又想去越不安宁。
,数更等交五鼓空房愈冷，
,果然是晓鸡唱天已黎明。
,我不免唤琏儿到街前探问，
,你爹爹到如今未转家门。
daxp-SuSanLi-NvQiJie.xml,苏三离了洪洞县，
,将身来在大街前。
,未曾开言心内惨，
,过往的君子听我言。
,哪一位去往南京转，
,与我那三郎把信传。
,言说苏三把命断，
,来生变犬马我当
daxp-TingTaYan-ZuoGong.xml,听他言吓得我浑身是汗，
,十五载到今日才吐真言。
,原来是杨家将把名姓改换，
,他思家乡想骨肉就不能团圆。
,我这里走向前再把礼见，
,尊一声驸马爷细听咱言。
,早晚间休怪我言语怠慢，
,不知者不怪罪你的海量放宽。
daxp-WoDeNiang-XinAnYi.xml,我的娘她忘了女生外姓，
,奴年交十九岁还守闺门。
,这几日身不爽心中烦闷，
,却原来母亲到儿未知情。
daxp-WoHeNi-SangYuanHui.xml,我和你有什么夫妻的情，
,谁认你狼心狗肺的人！
daxp-WoZhuYe-SiLangTanMu.xml,我主爷金沙滩早把命丧众文武扶哀家执掌军房。
,众卿随忙挂点亲率官员，
,一心心要夺取宋室江山。
,叫番儿忙摆驾银安殿，
,阅兵书看何人前来何安。
daxp-XiRiLi-LongFengChengXiang.xml,昔日里梁鸿配孟光，
,今朝仙女会襄王。
,暗地堪笑奴兄长，
,安排虎计害刘王。
,月老本是乔国丈，
,纵有大事料无妨。
daxp-XiRiLiang-LongFengChengXiang.xml,昔日梁鸿配孟光，
,今朝仙女会襄王。
,暗地堪笑我兄长，
,安排巧计害刘王。
daxp-XiShiNv-XiShi.xml,西施女生长在苎萝村里，
,难得有开怀事常锁双眉。
,只为着守清寒柴门近水，
,每日里浣纱去又傍清溪。
,怕只怕损玉颜姣容自惜，
,对清溪时照影自整罗农。
dldeh-ShouBiPo-ChunQiuPei.xml,Part 1
,受逼迫去捡柴泪如雨下，
,病恹恹身无力难以挣扎。
,奴好比花未开风吹雨打，
,想亲娘和老父心乱如麻。
,Part 2
,你继母心毒狠将你打骂，
,全（呐）不顾你身有病气力不佳。
lseh-JinZhongXiang-ShangTianTai.xml,金钟响玉磬应王登龙庭，
,寡人喜的是五谷丰登。
,文凭着邓先生策划有准，
,武仗着姚皇兄保定乾坤。
,内侍臣忙摆驾九龙口进，
,又听得殿角下大放悲声。
lseh-LaoZhangBu-WuPenJi.xml,老丈不（哇）必胆怕惊，
,我有言来你是（喏）听。
,休把我当作了妖魔论，
,我本屈死一鬼魂。
,我忙将树（呃）枝摆摇（哇）动，
,抓一（呀）把沙土扬灰尘。
,我和你远无冤近无有仇恨，
,望求老丈把冤伸。
lseh-NiangZiBu-SouGuJiuGu.xml,娘子不（哇）必太烈性，
,卑（呀）人言来你是（喏）听。
,赵屠二家有仇恨，
,三百余口命赴幽冥。
,我与那公孙杵臼把计定，
,他舍命来你我舍亲生。
,舍子搭救忠（呃）良的后，
,老天爷不绝我的后代根。
,你今舍了亲生子，
,来年必定降麒麟。
,千言万（哪）语她不肯，
,不舍娇儿难救孤身。
,无奈何我只得双（呃）膝跪，
,哀求娘子（喏）舍亲（呐）生。
lseh-TanXiongDi-SangYuanJiZi.xml,叹兄兀弟遭不幸一旦丧命，
,丢下了年幼儿好不伤情。
,眼望着孤坟台珠泪难忍，
,见坟台不见人刀割我心。
lseh-TuZeiZuo-SouGuJiuGu.xml,屠贼做事心太狠，
,诬杀赵家一满门。
,眼见得忠良无救应，
,大事还要问程婴。
lseh-WeiGuoJia-HongYangDong-1.xml,为国家那何曾半日闲空，
,我也曾平服了塞北西东。
,官封到节度使（喏）皇王恩重，
,身不爽不由人瞌睡朦胧（呃）。
lseh-WeiGuoJia-HongYangDong-2.xml,为国家哪何曾半日闲空，
,我也曾平服了塞北西东。
,官封到节度使（喏）皇王恩重，
,身不爽不由人瞌睡朦胧（呃）（哪）。
lseh-WeiGuoJia-HongYangDong-3.xml,为国家哪何曾半日闲空，
,我也曾平服了塞北西东。
,官封到节度史（喏）皇王恩重，
,身不爽不由人瞌睡朦胧。
lseh-WeiKaiYan-RangXuZhou.xml,未开言不由人（呐）珠泪滚滚，
,天卸重任我就要（哇）你担承。
,二犬子（呃）皆年幼（哇）难当（呃）重任，
,老朽年迈我也不能够担承。
,望使君放开怀慨然（呐）应（呐）允，
,救生灵（呐）积阴（呐）功也免得我坐卧不宁。
lseh-XinZhongYou-WenZhaoGuan.xml,心中有事难合眼，
,翻来复去睡不安。
,背地里只把东皋公怨，
,叫人难解巧机关。
,若是真心来救我，
,为何几日他不言，
,贪图富贵来害我，
,你就该把我献与昭关。
,哭一声爹娘不能相见，
,不能（呃）哎见。
,爹娘（呃）要相逢除非是梦（呃）里团圆。
,鸡鸣犬吠五更（呃）天，
,越思越想好伤惨，
,想当初在朝为官宦，
,朝臣待漏五更寒。
,到如今夜宿在荒村院，
,我冷冷清清向谁言。
,（呃）我本当拔宝剑自寻短见，
,寻短（呃）哎见。
,爹娘（呃）父母的冤仇化尘烟，
,对天发下宏誓愿，
,我不杀平王我的心怎甘。
lseh-XiRiLi-BaoLianDeng.xml,昔日里有一个孤竹君，
,伯夷叔齐二大贤人，
,都只为孤（哇）竹君身染重病（哪），
,传口诏命次子即位为君，
,那叔齐分长幼不能担任，
,那伯夷尊父命也不能应承，
,弟让兄来兄不能应（呐）允，
,兄（呃）推弟来两不能够担承。
,那伯夷出午门无（哇）有踪（呃）影，
,那叔齐逃出了后宰门，
,首阳山前冻饿死（喏）。
,留得美名万古存，
,为父的怎比得孤竹君，
,二娇儿也难比那两个贤人。
,打死了别家子父能作主，
,打死个秦官保父不能担承。
lseh-XuMaoGong-QinQiongFaPei.xml,徐茂公阴阳多奥妙，
,文韬武略智谋高。
,既是为我前来到，
,缘何不救我出笼牢。
,是是是（呀）来我明白了，
,其中必有这巧（哇）妙高。
lseh-YangYanZhao-PengBei.xml,杨延昭奉父命巡查大营，
,在中途得一信甚是不明。
,迈虎步我且把宝帐来进，
,又只见老爹爹瞌睡沉沉。
,我本当将此事对他来论，
,又恐怕惊动了年迈之人。
lseh-YiLunMing-WenZhaoGuan-1.xml,一轮明月照窗前，
,愁人心（哪）中似箭穿。
,实指（惹）望到吴国借兵回转，
,谁知昭关有阻拦。
,幸遇那东皋公行方便，
,他将我隐藏在后花园。
,一连几天我的眉不（哇）展，
,夜夜何曾得安眠。
,俺伍员好一似丧家犬，
,满腹的含冤我向谁言！
,（哪）我好（哇）比哀哀长空雁，
,我好比龙游在浅沙滩。
,我好（哇）比鱼儿吞了钩线，
,我好（哇）比波浪中失舵的舟船。
,（哪）思来想去我的肝肠断，
,今夜晚怎能够盼到明天。
,难合眼，翻来覆去睡不（哇）安。
,背地里只把东皋公怨叫人难解巧机关，
,若是真心来救我，
,为何几日他不言。
,贪图富贵来害我，
,你就该把我献与昭关。
,哭一声爹娘不能相见，
,不能（哪）哎见，
,爹娘！
,（兀）要相逢陈非是梦（兀）里团圆。
,鸡鸣犬吠五更（哪）天，
,越思越想好伤惨，
,想当初在朝为官宦，
,朝臣待漏（哇）五更寒，
,到如今夜宿在荒村院，
,我冷冷清清向谁言。
,（哪）我本当拔宝剑自寻短见，
,寻短（哪）哎见，
,爹娘！
,（兀）父母的冤仇化尘烟，
,对天发不宏誓愿，
,我不杀平王我的心怎甘。
,（哪）
lseh-YiLunMing-WenZhaoGuan-2.xml,一轮明月照窗前，
,愁人心（呐）中似箭穿。
,实指望到吴国借兵回转，
,谁知昭关有阻拦。
,幸遇那东皋公行方便，
,他将我隐藏在后花园。
,一连几天我的眉不（呃）展，
,夜夜何曾得安眠。
,俺伍员好一似丧家犬，
,满腹的含冤我向谁言（喏）。
,我好（呃）比哀哀长空雁，
,我好比龙游在浅沙滩。
,我好（呃）比鱼儿吞了钩线，
,我好（呃）比波浪中失舵的舟船（喏）。
,思来想去我的肝肠断，
,今夜晚怎能够盼到明天。
lseh-YiLunMing-ZhuoFangCao-1.xml,一轮明月照窗下，
,陈宫心（呐）中乱如麻，
,悔不该心猿并意马。
,悔不该随他人到吕家，
,吕伯奢可算得义气（呀）大，
,杀猪（喏）沽（哇）酒款待于他，
,又谁知此贼的疑心（呐）太（呀）大，
,拔出剑将他的满门杀，
,一家人倶丧在宝剑之（喏）下，
,年迈的老丈命（呐）染黄沙。
,屈死的冤鬼魂休来怨（呐）咱，
,自有那神灵（啊）天地鉴察。
,听谯楼打罢了二（喏）更鼓下，
,越思越想把事来作差。
,悔不该把家属一（呀）旦撇下，
,悔不该弃县今抛却了乌（哇）纱，
,我只说贼是个宽宏量大，
,汉室后来贼是个惹祸的根芽。
,观此贼睡卧真（呐）潇洒，
,安眠好似并底之蛙，
,贼好比蛟龙未生鳞甲，
,贼好比猛虎未（呀）曾长牙，
,虎在笼中我不打，
,我岂肯放虎归山又（哇）把人抓。
,执宝剑将贼的（呀）头割下，
,险些儿把事（喏）又（哇）作差。
lseh-YiLunMing-ZhuoFangCao-2.xml,一轮明月照窗下，
,陈宫心中乱如麻。
,悔不该心猿并意马，
,悔不该随他人到吕家。
,吕伯奢可算得义气大，
,杀猪沽酒款待与他。
,又谁知此贼的疑心太大，
,拔出剑将他的满门杀。
,一家人倶丧在宝剑之下，
,年迈老丈命染黄沙。
,屈死的冤鬼魂休要怨咱，
,自有那神灵儿天地鉴察。
lseh-YiLunMing-ZhuoFangSuDian.xml,一轮明月照窗下，
,陈宫心（呐）中乱如麻，
,悔不该心猿并意马，
,悔不该随他人到吕家。
,吕伯奢可算得义气（呀）大，
,杀猪（喏）沽酒款待与他，
,又谁知此贼的疑心（呐）太（呀）大，
,拔出剑将他的满门杀，
,一家人倶丧在宝剑之（喏）下，
,年迈的老丈命（呐）染黄沙。
,屈死的怨鬼魂休要怨（呐）咱，
,自有那神灵儿天地鉴察。
lseh-ZenNengGou-BaDaChui.xml,怎能够思一计番营来进，
,前后话对文龙细说衷情。
,前也思（喏）后又想无有计定，
,倒不如上公安观看古今。
lseh-ZiNaRi-HongYangDong.xml,自（喏）那日朝罢归身（呐）染重病，
,三更时梦（呃）见（呐）了年迈爹尊（呐）。
,我前番命孟良骸骨搬（呐）请，
,那乃是萧天佐以（呀）假成真；二次（喏）里命孟良番营来进，
,又谁知焦克明他私（呀）自后跟（呐），
,老军报他二人在洪洋（呃）洞丧（呃）命，
,去了我左右膀难以飞行。
,为此事终（啊）日里忧成疾病，
,因此上臣的病重（呃）加十分。
,千岁爷呀！
lsxp-CiShiJian-HuaiHeYing-1.xml,此时间不可闹笑话，
,胡言乱语怎瞒（呐）咱。
