daeh-ZiNaRi-ErJinGong.xml,dan,erhuang,manban,s1,自那日与徐杨决裂以后，,40,96,自那日,与徐杨,决裂以后，
,dan,erhuang,manban,x,独坐在寒宫院闷闷悠悠。,116,152,独坐在,寒宫院,闷闷悠悠。
,dan,erhuang,manban,s1,先王爷晏驾后太子年幼，,168,208.5,先王爷,晏驾后,太子年幼，
,dan,erhuang,manban,x,太师爷一心心想篡龙楼。,212,228.25,太师爷,一心心,想篡龙楼。
,dan,erhuang,manban,s2,他那里父女情全然无有，,232,248.5,他那里,父女情,全然无有，
,dan,erhuang,manban,x,竟把我孤儿寡母当做了马牛。,252,271.5,竟把我,孤儿寡母,当做了马牛。
,dan,erhuang,manban,s2,徐小姐把守在宫门口，,272,316,徐小姐,把守在,宫门口，
,dan,erhuang,manban,x,看一看不觉到八月中秋。,352,384,看一看,不觉到,八月中秋。
,dan,erhuang,manban,s1,李艳妃坐昭阳自思自想，,402,438,李艳妃,坐昭阳,自思自想，
,dan,erhuang,manban,x,想起了老王爷好不惨伤。,442,470,想起了,老王爷,好不惨伤。
,dan,erhuang,manban,s1,耳边厢又听得朝靴响亮，,486,522.5,耳边厢,又听得,朝靴响亮，
,dan,erhuang,manban,x,想必是徐杨进了昭阳。,526,544,想必是,徐杨,进了昭阳。
,dan,erhuang,manban,s2,有一句话儿不好言讲，,546,562.5,有一句,话儿,不好言讲，
,dan,erhuang,manban,x,我只得怀抱太子两泪汪汪口口声声哭的是先王！,566,610,我只得,怀抱太子两泪汪汪口口声声,哭的是先王！
daeh-ZiNaRi-ZhuangYuanMei-1.xml,dan,erhuang,yuanban,s1,自那日与六郎姻缘相见，,17,35.25,自那日,与六郎,姻缘相见，
,dan,erhuang,yuanban,x,行不安坐不宁情态缠绵。,37,45.25,行不安,坐不宁,情态缠绵。
,dan,erhuang,yuanban,s2,在潼台被贼擒在命好险，,47,55.25,在潼台,被贼擒,在命好险，
,dan,erhuang,yuanban,x,乱军中多亏他救我回还。,57,79,乱军中,多亏他,救我回还。
,dan,erhuang,yuanban,s1,这桩事闷得我柔肠百转，,87,119.5,这桩事,闷得我,柔肠百转，
,dan,erhuang,yuanban,x,不知道他与我是否一般。,121,129.25,不知道,他与我,是否一般。
,dan,erhuang,yuanban,s2,百姓们闺房乐如花美眷，,131,139.25,百姓们,闺房乐,如花美眷，
,dan,erhuang,yuanban,x,帝王家深宫院似水流年。,141,151.25,帝王家,深宫院,似水流年。
,dan,erhuang,yuanban,s2,幸喜得珍珠衫称心如愿，,153,161.25,幸喜得,珍珠衫,称心如愿，
,dan,erhuang,yuanban,x,宋天子主婚姻此事成全。,163,171.25,宋天子,主婚姻,此事成全。
,dan,erhuang,yuanban,s2,但愿得令公令婆别无异见，,173,181.25,但愿得,令公令婆,别无异见，
,dan,erhuang,yuanban,x,但愿得杨六郎心如石坚，,183,191.375,但愿得,杨六郎,心如石坚，
,dan,erhuang,yuanban,s2,但愿得状元媒月老引线，,193,201,但愿得,状元媒,月老引线，
,dan,erhuang,yuanban,x,但愿得八主贤王从中周旋，早成姻眷，扫狼烟，叫那胡儿不敢进犯保叔王锦绣江山。,203,246,但愿得,八主贤王从中周旋，早成姻眷，扫狼烟，叫那胡儿不敢进犯保叔王,锦绣江山。
,dan,erhuang,yuanban,s1,愿天下有情人都成姻眷，,246,260.25,愿天下,有情人,都成姻眷，
,dan,erhuang,yuanban,x,愿天下从此后国泰民安。,262,271,愿天下,从此后,国泰民安。
daeh-ZiNaRi-ZhuangYuanMei-2.xml,dan,erhuang,yuanban,s1,自那日与六郎阵前相见，,18,42.5,自那日,与六郎,阵前相见，
,dan,erhuang,yuanban,x,行不安坐不宁情态缠绵。,44,52,行不安,坐不宁,情态缠绵。
,dan,erhuang,yuanban,s2,在潼台被贼擒性命好险，,54,62,在潼台,被贼擒,性命好险，
,dan,erhuang,yuanban,x,乱军中多亏他救我回还。,64,86,乱军中,多亏他,救我回还。
,dan,erhuang,yuanban,s1,这桩事闷得我柔肠百转，,94,128.5,这桩事,闷得我,柔肠百转，
,dan,erhuang,yuanban,x,不知道他与我是否一般。,130,138,不知道,他与我,是否一般。
,dan,erhuang,yuanban,s2,百姓们闺房乐如花美眷，,140,148.5,百姓们,闺房乐,如花美眷，
,dan,erhuang,yuanban,x,帝王家深宫怨似水流年。,150,160,帝王家,深宫怨,似水流年。
,dan,erhuang,yuanban,s2,幸喜得珍珠衫称心如愿，,162,170.5,幸喜得,珍珠衫,称心如愿，
,dan,erhuang,yuanban,x,宋天子主婚姻此事成全。,172,180.75,宋天子,主婚姻,此事成全。
,dan,erhuang,yuanban,s2,但愿得令公令婆别无意见，,182,190.5,但愿得,令公令婆,别无意见，
,dan,erhuang,yuanban,x,但愿得杨六郎心如石坚。,192,200.75,但愿得,杨六郎,心如石坚。
,dan,erhuang,yuanban,s2,但愿得状元媒月老引线，,202,210.5,但愿得,状元媒,月老引线，
,dan,erhuang,yuanban,x,但愿得八主贤王从中周旋早成美眷、扫狼烟叫那胡儿不敢进犯、保叔王锦锈江山。,212,247,但愿得,八主贤王从中周旋早成美眷、扫狼烟叫那胡儿不敢进犯、保叔王,锦锈江山。
,dan,erhuang,yuanban,s1,愿天下有情人都成姻眷，,263,277.5,愿天下,有情人,都成姻眷，
,dan,erhuang,yuanban,x,愿邦家从此后国泰民安。,279,288,愿邦家,从此后,国泰民安。
daeh-ZuoChunGui-XiShi.xml,dan,erhuang,manban,s1,坐春闺只觉得光明似箭，,10,63,坐春闺,只觉得,光明似箭，
,dan,erhuang,manban,x,无限的闲愁恨尽上眉尖。,78,115,无限的,闲愁恨,尽上眉尖。
,dan,erhuang,manban,s1,奴这里心中痛玉颜清减，,128,196,奴这里,心中痛,玉颜清减，
,dan,erhuang,manban,x,夜不眠朝慵起又向谁言。,212,236,夜不眠,朝慵起,又向谁言。
daeh-ZuoRiGong-TaiZhenWaiChuan.xml,dan,erhuang,yuanban,s1,昨日宫中何等宠幸，,18,40,昨日,宫中,何等宠幸，
,dan,erhuang,yuanban,x,有谁知一时错被逐宫廷。,42,60,有谁知,一时错,被逐宫廷。
,dan,erhuang,yuanban,s1,思想起从前事心中悔恨，,70,94.5,思想起,从前事,心中悔恨，
,dan,erhuang,yuanban,x,但不知何日里再沐圣明。,96,106,但不知,何日里,再沐圣明。
daxp-ChenSanLiang-ChenSanLiangPaTang.xml,dan,xipi,daoban,s,陈三两在大堂把话云，,14,33,陈三两在大堂把话云，,,
,dan,xipi,manban,x,公正的老爷细听分明。,65,100.75,公正的,老爷,细听分明。
,dan,xipi,manban,s,我本是被骗进的富春院，,129,157,我本是,被骗进的,富春院，
,dan,xipi,manban,x,发奋自强日夜读诗文。,165,196,发奋,自强,日夜读诗文。
,dan,xipi,manban,s,诗书易礼都学会，,205,220,诗书,易礼,都学会，
,dan,xipi,manban,x,最可恨鸨儿叫我接客人。,229,252,最可恨,鸨儿,叫我接客人。
daxp-ChunQiuTing-SuoLinNang.xml,dan,xipi,erliu,s,春秋亭外风雨暴，,2,14.75,春秋,亭外,风雨暴，
,dan,xipi,erliu,x,何处悲声破寂寥。,15,25.25,何处,悲声,破寂寥。
,dan,xipi,erliu,s,在隔帘只见这一花轿，,27,36.75,在隔帘,只见这,一花轿，
,dan,xipi,erliu,x,想必是新婚渡鹊桥，,37,47.25,想必是,新婚,渡鹊桥，
,dan,xipi,erliu,s,吉日良辰当欢笑，,49,58.75,吉日,良辰,当欢笑，
,dan,xipi,erliu,x,为何鲛珠化泪抛？,59,72.75,为何,鲛珠,化泪抛？
,dan,xipi,erliu,s,此时却又明白了，,75,84.25,此时,却又,明白了，
,dan,xipi,liushui,x,世上何尝尽富豪，,84.5,89,世上,何尝,尽富豪，
,dan,xipi,liushui,s,亦有饥寒悲怀抱，,90.5,97,亦有,饥寒,悲怀抱，
