,dan,erhuang,manban,x,老薛保好一似浪里舟船。,204,221.5,3133244312,老薛保,204,207,好一似,209,211,浪里舟船。,212,221.5
,dan,erhuang,manban,s2,薛倚儿他好比无弓之箭，,224,240,1351332114,薛倚儿,224,227,他好比,229,231,无弓之箭，,232,240
,dan,erhuang,manban,x,每日里在书房苦读圣贤。,244,261.5,3434123242,每日里,244,247,在书房,249,251.5,苦读圣贤。,252,261.5
,dan,erhuang,manban,s2,将身儿来至在机房织绢，,264,296,1152441214,将身儿,264,267,来至在,269,271,机房织绢，,272,296
,dan,erhuang,manban,x,等候了薛倚儿转回家园。,332,355,3431323212,等候了,332,339,薛倚儿,341,343.5,转回家园。,344,355
daeh-WuDuanQiao-BiYuZan.xml,dan,erhuang,manban,s1,无端巧计将人陷，,36,93,2134124,无端,36,41,巧计,44,53.25,将人陷，,68,93
,dan,erhuang,manban,x,薄命自伤怨红颜。,112,149,2441422,薄命,112,119.25,自伤,121,123,怨红颜。,124,149
,dan,erhuang,manban,s1,独处闺房愁无限，,164,204.5,2312224,独处,164,169,闺房,172,181.25,愁无限，,196,204.5
,dan,erhuang,manban,x,落得孤身病恹恹。,208,224.5,4211411,落得,208,211.25,孤身,213,215,病恹恹。,216,224.5
,dan,erhuang,manban,s2,今生若被郎轻贱，,228,244.5,1144214,今生,228,230,若被,233,234.5,郎轻贱，,236,244.5
,dan,erhuang,manban,x,满腹冤屈向谁言。,248,263.5,3411422,满腹,248,249,冤屈,250,251,向谁言。,252,263.5
,dan,erhuang,manban,s2,一心早想寻短见，,264,297,4133234,一心,264,266,早想,269,270.5,寻短见，,272,297
,dan,erhuang,manban,x,又怕丑名误流传。,332,356,4432422,又怕,332,339.25,丑名,341,343,误流传。,344,356
daeh-XiaoNuCai-SanNiangJiaoZi.xml,dan,erhuang,yuanban,s1,小奴才他一言问住我，,0,13,322142443,小奴才,0,2,他一言,4,8,问住我，,9,13
,dan,erhuang,yuanban,x,闭口无言王春娥。,15,21,4322212,闭口,15,15.75,无言,16,16.75,王春娥。,17,21
,dan,erhuang,yuanban,s2,哭一声亡故夫在阴曹等我，,23,31,14124141233,哭一声,23,24.5,亡故夫在,25.5,26.75,阴曹等我，,27,31
,dan,erhuang,yuanban,x,等候了你妻子同见阎罗。,33,41,3433132422,等候了,33,34.5,你妻子,35.5,36.75,同见阎罗。,37,41
,dan,erhuang,yuanban,s2,怒气不息在机房闷坐，,43,55,444141244,怒气,43,44.5,不息在,45.5,46.75,机房闷坐，,47,55
,dan,erhuang,yuanban,x,叹一声不由人珠泪如梭。,56,74,4414221421,叹一声,56,59.5,不由人,60.5,61.75,珠泪如梭。,62,74
daeh-ZaoBuXing-HeHouMaDian.xml,dan,erhuang,kuaisanyan,s1,遭不幸老王爷晏了御驾，,10,51,1243224344,遭不幸,10,14,老王爷,18,27,晏了御驾，,42,51
,dan,erhuang,kuaisanyan,x,贼昏王篡了位谋乱邦家。,54,71,2124342411,贼昏王,54,57,篡了位,59,61.5,谋乱邦家。,62,71
,dan,erhuang,kuaisanyan,s2,把一个皇太子逼死殿下，,74,91,3242451344,把一个,74,76.5,皇太子,79,81,逼死殿下，,82,91
,dan,erhuang,kuaisanyan,x,反倒说为嫂我拦阻有差，,94,111,3314332331,反倒说,94,96.5,为嫂我,99,101,拦阻有差，,102,111
,dan,erhuang,kuaisanyan,s2,贼好比王莽贼称孤道寡，,114,131,2332321143,贼好比,114,116.5,王莽贼,119,121,称孤道寡，,122,131
,dan,erhuang,kuaisanyan,x,贼好比曹阿瞒半点不差，,134,151,2332124341,贼好比,134,136.5,曹阿瞒,139,141,半点不差，,142,151
,dan,erhuang,kuaisanyan,s2,贼好比秦赵高指鹿为马，,154,173.5,2332413423,贼好比,154,156.5,秦赵高,159,161,指鹿为马，,162,173.5
,dan,erhuang,kuaisanyan,x,贼好比那司马师搅乱中华。,174,191,23341313412,贼好比,174,176,那司马师,177.5,181.5,搅乱中华。,182,191
,dan,erhuang,kuaisanyan,s2,只骂得贼昏王装聋作哑，,194,211,3422121243,只骂得,194,196.5,贼昏王,199,201.5,装聋作哑，,202,211
,dan,erhuang,kuaisanyan,x,只骂得贼昏王扭转身驱、闭目合晴、羞羞惭惭一语不发，,214,256,3422123311442111224341,只骂得,214,216,贼昏王扭转身驱、闭目合晴、羞羞惭惭,218,233.5,一语不发，,234,256
,dan,erhuang,kuaisanyan,s2,只骂得贼昏王无言对答。,258,275,3422122242,只骂得,258,260.5,贼昏王,263,265.5,无言对答。,266,275
,dan,erhuang,kuaisanyan,x,两旁的文武臣珠泪如麻，,278,295,3252321422,两旁的,278,281,文武臣,283,285.5,珠泪如麻，,286,295
,dan,erhuang,kuaisanyan,s2,搬一把金交椅娘且坐下，,298,315,1431132344,搬一把,298,300.5,金交椅,303,305,娘且坐下，,306,315
,dan,erhuang,kuaisanyan,x,你叔王不让位再去骂他。,318,360,3122444441,你叔王,318,321,不让位,323,325.5,再去骂他。,326,360
daeh-ZiNaRi-ErJinGong.xml,dan,erhuang,manban,s1,自那日与徐杨决裂以后，,40,96,4443222434,自那日,40,45,与徐杨,48,56,决裂以后，,72,96
,dan,erhuang,manban,x,独坐在寒宫院闷闷悠悠。,116,152,2442144411,独坐在,116,123,寒宫院,125,127.5,闷闷悠悠。,128,152
,dan,erhuang,manban,s1,先王爷晏驾后太子年幼，,168,208.5,1224444524,先王爷,168,172,晏驾后,176,184,太子年幼，,200,208.5
,dan,erhuang,manban,x,太师爷一心心想篡龙楼。,212,228.25,4124113422,太师爷,212,215.25,一心心,217,219,想篡龙楼。,220,228.25
,dan,erhuang,manban,s2,他那里父女情全然无有，,232,248.5,1434322223,他那里,232,234.25,父女情,237,239,全然无有，,240,248.5
,dan,erhuang,manban,x,竟把我孤儿寡母当做了马牛。,252,271.5,433123314332,竟把我,252,255,孤儿寡母,256,259.875,当做了马牛。,260,271.5
,dan,erhuang,manban,s2,徐小姐把守在宫门口，,272,316,233334123,徐小姐,272,274.25,把守在,277,279,宫门口，,280,316
,dan,erhuang,manban,x,看一看不觉到八月中秋。,352,384,4244241411,看一看,352,359,不觉到,361,363,八月中秋。,364,384
,dan,erhuang,manban,s1,李艳妃坐昭阳自思自想，,402,438,3414124143,李艳妃,402,406.5,坐昭阳,410,418,自思自想，,430,438
,dan,erhuang,manban,x,想起了老王爷好不惨伤。,442,470,3333223431,想起了,442,445,老王爷,447,449,好不惨伤。,450,470
,dan,erhuang,manban,s1,耳边厢又听得朝靴响亮，,486,522.5,3114122134,耳边厢,486,490,又听得,494,502,朝靴响亮，,514,522.5
,dan,erhuang,manban,x,想必是徐杨进了昭阳。,526,544,344224312,想必是,526,528.25,徐杨,531,533,进了昭阳。,534,544
,dan,erhuang,manban,s2,有一句话儿不好言讲，,546,562.5,324454323,有一句,546,548.25,话儿,551,552.5,不好言讲，,554,562.5
,dan,erhuang,manban,x,我只得怀抱太子两泪汪汪口口声声哭的是先王！,566,610,33224453411331115412,我只得,566,568.25,怀抱太子两泪汪汪口口声声,570,581.5,哭的是先王！,582,610
daeh-ZiNaRi-ZhuangYuanMei-1.xml,dan,erhuang,yuanban,s1,自那日与六郎姻缘相见，,17,35.25,4443421214,自那日,17,21,与六郎,25,29,姻缘相见，,31,35.25
